,Date,Activity Type,Activity Title,Session Type,Sesson Title,Start Time,End Time,Jersey No.,Position,Age,Height (cm),Weight (kg),Duration (min),Total Distance (m),Distance/min (m/min),RPE,Injury,Unnamed: 14,Unnamed: 15,Unnamed: 16
47,10/11/2022,Training,Speed,Full Session,Full Session,10/11/2022 16:07,10/11/2022 17:30,47409,CM,32,186,78,63,"4,770.30",75.7,6,No,,,
48,10/11/2022,Training,Speed,Full Session,Full Session,10/11/2022 16:07,10/11/2022 17:30,47410,WF,29,185,80,63,"4,486.20",71.3,6,No,,,
49,10/11/2022,Training,Speed,Full Session,Full Session,10/11/2022 16:07,10/11/2022 17:30,47411,CAM,25,186,84,63,"4,820.60",76.5,3,No,,,
50,10/11/2022,Training,Speed,Full Session,Full Session,10/11/2022 16:07,10/11/2022 17:30,47413,WF,26,166,65,63,"4,874.30",77.4,3,No,,,
51,10/11/2022,Training,Speed,Full Session,Full Session,10/11/2022 16:07,10/11/2022 17:30,47414,CM,30,186,80,63,"5,136.40",81.5,3,No,,,
52,10/11/2022,Training,Speed,Full Session,Full Session,10/11/2022 16:07,10/11/2022 17:30,47415,CM,27,178,75,63,"4,674.60",74.2,3,No,,,
53,10/11/2022,Training,Speed,Full Session,Full Session,10/11/2022 16:07,10/11/2022 17:30,47416,FB,23,180,82,63,"4,833.50",76.7,3,No,,,
54,10/11/2022,Training,Speed,Full Session,Full Session,10/11/2022 16:07,10/11/2022 17:30,47420,WF,27,164,65,63,"5,009.20",79.5,6,No,,,
55,10/11/2022,Training,Speed,Full Session,Full Session,10/11/2022 16:07,10/11/2022 17:30,47422,FB,34,173,86,63,"4,502.40",71.5,2,No,,,
56,10/11/2022,Training,Speed,Full Session,Full Session,10/11/2022 16:07,10/11/2022 17:30,47425,FB,30,173,72,63,"4,539.90",72.1,6,No,,,
57,10/11/2022,Training,Speed,Full Session,Full Session,10/11/2022 16:07,10/11/2022 17:30,47426,CF,23,188,82,63,"4,585.00",72.8,6,No,,,
58,10/11/2022,Training,Speed,Full Session,Full Session,10/11/2022 16:07,10/11/2022 17:30,47427,CDM,30,181,76,63,"4,926.30",78.2,8,No,,,
59,10/11/2022,Training,Speed,Full Session,Full Session,10/11/2022 16:07,10/11/2022 17:30,47428,CB,37,180,85,63,"4,845.80",76.9,6,No,,,
45,11/11/2022,Training,Activation ,Full Session,Full Session,11/11/2022 13:38,11/11/2022 14:50,47406,CB,30,189,86,52,"3,204.50",61.6,2,No,,,
46,11/11/2022,Training,Activation ,Full Session,Full Session,11/11/2022 13:38,11/11/2022 14:50,47407,CB,24,188,89,52,"3,436.70",66.1,3,No,,,
47,11/11/2022,Training,Activation ,Full Session,Full Session,11/11/2022 13:38,11/11/2022 14:50,47409,CM,32,186,78,52,"4,733.10",91,6,No,,,
48,11/11/2022,Training,Activation ,Full Session,Full Session,11/11/2022 13:38,11/11/2022 14:50,47410,WF,29,185,80,52,"3,490.30",67.1,6,No,,,
49,11/11/2022,Training,Activation ,Full Session,Full Session,11/11/2022 13:38,11/11/2022 14:50,47411,CAM,25,186,84,52,"3,606.70",69.4,3,No,,,
50,11/11/2022,Training,Activation ,Full Session,Full Session,11/11/2022 13:38,11/11/2022 14:50,47413,WF,26,166,65,52,"3,471.00",66.7,3,No,,,
51,11/11/2022,Training,Activation ,Full Session,Full Session,11/11/2022 13:38,11/11/2022 14:50,47414,CM,30,186,80,52,"3,781.70",72.7,3,No,,,
52,11/11/2022,Training,Activation ,Full Session,Full Session,11/11/2022 13:38,11/11/2022 14:50,47415,CM,27,178,75,52,"3,332.60",64.1,3,No,,,
53,11/11/2022,Training,Activation ,Full Session,Full Session,11/11/2022 13:38,11/11/2022 14:50,47416,FB,23,180,82,52,"3,281.90",63.1,3,No,,,
54,11/11/2022,Training,Activation ,Full Session,Full Session,11/11/2022 13:38,11/11/2022 14:50,47420,WF,27,164,65,52,"3,370.60",64.8,6,No,,,
55,11/11/2022,Training,Activation ,Full Session,Full Session,11/11/2022 13:38,11/11/2022 14:50,47422,FB,34,173,86,52,"3,355.70",64.5,2,No,,,
56,11/11/2022,Training,Activation ,Full Session,Full Session,11/11/2022 13:38,11/11/2022 14:50,47425,FB,30,173,72,52,"3,168.90",60.9,6,No,,,
57,11/11/2022,Training,Activation ,Full Session,Full Session,11/11/2022 13:38,11/11/2022 14:50,47426,CF,23,188,82,52,"3,169.10",60.9,6,No,,,
58,11/11/2022,Training,Activation ,Full Session,Full Session,11/11/2022 13:38,11/11/2022 14:50,47427,CDM,30,181,76,52,"3,545.20",68.2,8,No,,,
59,11/11/2022,Training,Activation ,Full Session,Full Session,11/11/2022 13:38,11/11/2022 14:50,47428,CB,37,180,85,52,"3,358.90",64.6,6,No,,,
32,17/11/2022,Training,Strength,Full Session,Full Session,17/11/2022 15:55,17/11/2022 17:40,47410,WF,29,185,80,92,"4,445.20",48.5,7,No,,,
33,17/11/2022,Training,Strength,Full Session,Full Session,17/11/2022 15:55,17/11/2022 17:40,47411,CAM,25,186,84,91,"4,178.60",45.7,4,No,,,
34,17/11/2022,Training,Strength,Full Session,Full Session,17/11/2022 15:55,17/11/2022 17:40,47416,FB,23,180,82,92,"4,892.30",53.4,4,No,,,
35,17/11/2022,Training,Strength,Full Session,Full Session,17/11/2022 15:55,17/11/2022 17:40,47420,WF,27,164,65,91,"4,401.30",48.3,6,No,,,
36,17/11/2022,Training,Strength,Full Session,Full Session,17/11/2022 15:55,17/11/2022 17:40,47422,FB,34,173,86,91,"4,826.80",53.1,5,No,,,
37,17/11/2022,Training,Strength,Full Session,Full Session,17/11/2022 15:55,17/11/2022 17:40,47423,CB,36,173,78,91,"4,087.80",44.8,5,No,,,
38,17/11/2022,Training,Strength,Full Session,Full Session,17/11/2022 15:55,17/11/2022 17:40,47425,FB,30,173,72,92,"4,103.30",44.8,6,No,,,
39,17/11/2022,Training,Strength,Full Session,Full Session,17/11/2022 15:55,17/11/2022 17:40,47428,CB,37,180,85,92,"4,441.60",48.5,6,No,,,
18,18/11/2022,Training,Endurance,Full Session,Full Session,18/11/2022 16:00,18/11/2022 17:45,47409,CM,32,186,78,88,"5,394.80",61.3,7,No,,,
19,18/11/2022,Training,Endurance,Full Session,Full Session,18/11/2022 16:00,18/11/2022 17:45,47410,WF,29,185,80,88,"4,491.70",51.1,7,No,,,
20,18/11/2022,Training,Endurance,Full Session,Full Session,18/11/2022 16:00,18/11/2022 17:45,47416,FB,23,180,82,87,"5,358.00",61.9,5,No,,,
21,18/11/2022,Training,Endurance,Full Session,Full Session,18/11/2022 16:00,18/11/2022 17:45,47423,CB,36,173,78,88,"4,901.70",55.7,5,No,,,
22,18/11/2022,Training,Endurance,Full Session,Full Session,18/11/2022 16:00,18/11/2022 17:45,47425,FB,30,173,72,88,"4,824.10",54.9,6,No,,,
23,18/11/2022,Training,Endurance,Full Session,Full Session,18/11/2022 16:00,18/11/2022 17:45,47426,CF,23,188,82,88,"5,231.80",59.5,6,No,,,
18,19/11/2022,Training,Endurance,Full Session,Full Session,19/11/2022 09:30,19/11/2022 10:45,47409,CM,32,186,78,56,"4,605.90",82.2,7,No,,,
19,19/11/2022,Training,Endurance,Full Session,Full Session,19/11/2022 09:30,19/11/2022 10:45,47410,WF,29,185,80,56,"4,530.00",80.9,7,No,,,
20,19/11/2022,Training,Endurance,Full Session,Full Session,19/11/2022 09:30,19/11/2022 10:45,47416,FB,23,180,82,56,"4,536.00",81,6,No,,,
21,19/11/2022,Training,Endurance,Full Session,Full Session,19/11/2022 09:30,19/11/2022 10:45,47420,WF,27,164,65,56,"4,460.50",79.6,7,No,,,
22,19/11/2022,Training,Endurance,Full Session,Full Session,19/11/2022 09:30,19/11/2022 10:45,47425,FB,30,173,72,56,"4,419.00",78.9,7,No,,,
23,19/11/2022,Training,Endurance,Full Session,Full Session,19/11/2022 09:30,19/11/2022 10:45,47426,CF,23,188,82,56,"4,209.60",75.1,6,No,,,
40,21/11/2022,Training,Activation,Full Session,Full Session,21/11/2022 16:08,21/11/2022 18:20,47409,CM,32,186,78,60,"2,008.30",33.5,4,No,,,
41,21/11/2022,Training,Activation,Full Session,Full Session,21/11/2022 16:08,21/11/2022 18:20,47410,WF,29,185,80,60,"1,845.90",30.8,5,No,,,
42,21/11/2022,Training,Activation,Full Session,Full Session,21/11/2022 16:08,21/11/2022 18:20,47411,CAM,25,186,84,60,"1,671.90",27.9,3,No,,,
43,21/11/2022,Training,Activation,Full Session,Full Session,21/11/2022 16:08,21/11/2022 18:20,47416,FB,23,180,82,60,"1,990.30",33.2,3,No,,,
44,21/11/2022,Training,Activation,Full Session,Full Session,21/11/2022 16:08,21/11/2022 18:20,47420,WF,27,164,65,60,"1,883.50",31.4,5,No,,,
45,21/11/2022,Training,Activation,Full Session,Full Session,21/11/2022 16:08,21/11/2022 18:20,47422,FB,34,173,86,60,"1,918.30",32,3,No,,,
46,21/11/2022,Training,Activation,Full Session,Full Session,21/11/2022 16:08,21/11/2022 18:20,47423,CB,36,173,78,60,"1,711.20",28.6,2,No,,,
47,21/11/2022,Training,Activation,Full Session,Full Session,21/11/2022 16:08,21/11/2022 18:20,47425,FB,30,173,72,60,"1,735.80",29,4,No,,,
48,21/11/2022,Training,Activation,Full Session,Full Session,21/11/2022 16:08,21/11/2022 18:20,47426,CF,23,188,82,60,"1,907.80",31.9,4,No,,,
49,21/11/2022,Training,Activation,Full Session,Full Session,21/11/2022 16:08,21/11/2022 18:20,47427,CDM,30,181,76,60,"1,888.90",31.5,5,No,,,
45,22/11/2022,Training,Endurance,Full Session,Full Session,22/11/2022 16:00,22/11/2022 18:15,47409,CM,32,186,78,85,"6,601.90",77.4,7,No,,,
46,22/11/2022,Training,Endurance,Full Session,Full Session,22/11/2022 16:00,22/11/2022 18:15,47410,WF,29,185,80,85,"6,384.70",74.8,8,No,,,
47,22/11/2022,Training,Endurance,Full Session,Full Session,22/11/2022 16:00,22/11/2022 18:15,47411,CAM,25,186,84,85,"5,679.30",66.6,4,No,,,
48,22/11/2022,Training,Endurance,Full Session,Full Session,22/11/2022 16:00,22/11/2022 18:15,47414,CM,30,186,80,15,"1,212.50",80,3,No,,,
49,22/11/2022,Training,Endurance,Full Session,Full Session,22/11/2022 16:00,22/11/2022 18:15,47416,FB,23,180,82,85,"6,068.50",71.1,4,No,,,
50,22/11/2022,Training,Endurance,Full Session,Full Session,22/11/2022 16:00,22/11/2022 18:15,47422,FB,34,173,86,85,"6,429.50",75.4,5,No,,,
51,22/11/2022,Training,Endurance,Full Session,Full Session,22/11/2022 16:00,22/11/2022 18:15,47423,CB,36,173,78,85,"5,230.50",61.3,4,No,,,
52,22/11/2022,Training,Endurance,Full Session,Full Session,22/11/2022 16:00,22/11/2022 18:15,47425,FB,30,173,72,85,"6,194.90",72.6,8,No,,,
53,22/11/2022,Training,Endurance,Full Session,Full Session,22/11/2022 16:00,22/11/2022 18:15,47426,CF,23,188,82,44,"2,561.10",58,6,No,,,
54,22/11/2022,Training,Endurance,Full Session,Full Session,22/11/2022 16:00,22/11/2022 18:15,47427,CDM,30,181,76,85,"6,839.50",80.2,7,No,,,
39,24/11/2022,Training,Endurance,Full Session,Full Session,24/11/2022 16:06,24/11/2022 17:35,47409,CM,32,186,78,80,"3,847.50",48.1,7,No,,,
40,24/11/2022,Training,Endurance,Full Session,Full Session,24/11/2022 16:06,24/11/2022 17:35,47410,WF,29,185,80,80,"3,520.80",44,8,No,,,
41,24/11/2022,Training,Endurance,Full Session,Full Session,24/11/2022 16:06,24/11/2022 17:35,47411,CAM,25,186,84,80,"3,622.60",45.3,4,No,,,
42,24/11/2022,Training,Endurance,Full Session,Full Session,24/11/2022 16:06,24/11/2022 17:35,47414,CM,30,186,80,80,"3,880.20",48.5,3,No,,,
43,24/11/2022,Training,Endurance,Full Session,Full Session,24/11/2022 16:06,24/11/2022 17:35,47416,FB,23,180,82,80,"3,733.60",46.7,4,No,,,
44,24/11/2022,Training,Endurance,Full Session,Full Session,24/11/2022 16:06,24/11/2022 17:35,47422,FB,34,173,86,80,"3,678.20",46,5,No,,,
45,24/11/2022,Training,Endurance,Full Session,Full Session,24/11/2022 16:06,24/11/2022 17:35,47423,CB,36,173,78,80,"3,390.60",42.4,3,No,,,
46,24/11/2022,Training,Endurance,Full Session,Full Session,24/11/2022 16:06,24/11/2022 17:35,47425,FB,30,173,72,80,"3,300.80",41.3,7,No,,,
47,24/11/2022,Training,Endurance,Full Session,Full Session,24/11/2022 16:06,24/11/2022 17:35,47426,CF,23,188,82,46,"1,848.10",40.4,5,No,,,
48,24/11/2022,Training,Endurance,Full Session,Full Session,24/11/2022 16:06,24/11/2022 17:35,47427,CDM,30,181,76,80,"3,960.00",49.5,7,No,,,
52,25/11/2022,Training,Endurance ,Full Session,Full Session,25/11/2022 15:58,25/11/2022 17:58,47406,CB,30,189,86,81,"5,561.00",68.6,4,No,,,
53,25/11/2022,Training,Endurance ,Full Session,Full Session,25/11/2022 15:58,25/11/2022 17:58,47407,CB,24,188,89,81,"5,570.80",68.7,4,No,,,
54,25/11/2022,Training,Endurance ,Full Session,Full Session,25/11/2022 15:58,25/11/2022 17:58,47409,CM,32,186,78,81,"6,005.00",74.1,7,No,,,
55,25/11/2022,Training,Endurance,Full Session,Full Session,25/11/2022 15:58,25/11/2022 17:58,47410,WF,29,185,80,34,"3,396.20",99.8,8,Yes,,,
56,25/11/2022,Training,Endurance ,Full Session,Full Session,25/11/2022 15:58,25/11/2022 17:58,47411,CAM,25,186,84,81,"5,503.70",67.9,3,No,,,
57,25/11/2022,Training,Endurance ,Full Session,Full Session,25/11/2022 15:58,25/11/2022 17:58,47413,WF,26,166,65,81,"5,660.70",69.8,3,No,,,
58,25/11/2022,Training,Endurance ,Full Session,Full Session,25/11/2022 15:58,25/11/2022 17:58,47414,CM,30,186,80,81,"6,119.80",75.5,3,No,,,
59,25/11/2022,Training,Endurance ,Full Session,Full Session,25/11/2022 15:58,25/11/2022 17:58,47416,FB,23,180,82,81,"5,466.70",67.4,3,No,,,
60,25/11/2022,Training,Endurance ,Full Session,Full Session,25/11/2022 15:58,25/11/2022 17:58,47420,WF,27,164,65,52,"3,961.90",75.6,5,No,,,
61,25/11/2022,Training,Endurance ,Full Session,Full Session,25/11/2022 15:58,25/11/2022 17:58,47422,FB,34,173,86,81,"5,308.30",65.5,5,No,,,
62,25/11/2022,Training,Endurance ,Full Session,Full Session,25/11/2022 15:58,25/11/2022 17:58,47425,FB,30,173,72,81,"4,995.00",61.6,7,No,,,
63,25/11/2022,Training,Endurance ,Full Session,Full Session,25/11/2022 15:58,25/11/2022 17:58,47426,CF,23,188,82,81,"5,356.50",66.1,8,No,,,
64,25/11/2022,Training,Endurance ,Full Session,Full Session,25/11/2022 15:58,25/11/2022 17:58,47427,CDM,30,181,76,81,"6,275.30",77.4,8,No,,,
65,25/11/2022,Training,Endurance ,Full Session,Full Session,25/11/2022 15:58,25/11/2022 17:58,47428,CB,37,180,85,81,"5,305.80",65.5,-,No,,,
49,26/11/2022,Training,Endurance ,Full Session,Full Session,26/11/2022 16:05,26/11/2022 17:28,47406,CB,30,189,86,83,5290.7,63.7,3,No,,,
50,26/11/2022,Training,Endurance ,Full Session,Full Session,26/11/2022 16:05,26/11/2022 17:28,47407,CB,24,188,89,83,5591.3,67.4,3,No,,,
51,26/11/2022,Training,Endurance ,Full Session,Full Session,26/11/2022 16:05,26/11/2022 17:28,47409,CM,32,186,78,83,5414.3,65.2,5,No,,,
52,26/11/2022,Training,Endurance ,Full Session,Full Session,26/11/2022 16:05,26/11/2022 17:28,47410,WF,29,185,80,21,1570.4,74.7,6,No,,,
53,26/11/2022,Training,Endurance ,Full Session,Full Session,26/11/2022 16:05,26/11/2022 17:28,47411,CAM,25,186,84,83,5847.3,70.4,4,No,,,
54,26/11/2022,Training,Endurance ,Full Session,Full Session,26/11/2022 16:05,26/11/2022 17:28,47413,WF,26,166,65,83,5706.9,68.8,3,No,,,
55,26/11/2022,Training,Endurance ,Full Session,Full Session,26/11/2022 16:05,26/11/2022 17:28,47414,CM,30,186,80,83,5929.6,71.4,4,No,,,
56,26/11/2022,Training,Endurance ,Full Session,Full Session,26/11/2022 16:05,26/11/2022 17:28,47416,FB,23,180,82,83,5480.7,66,3,No,,,
57,26/11/2022,Training,Endurance ,Full Session,Full Session,26/11/2022 16:05,26/11/2022 17:28,47422,FB,34,173,86,83,5825.1,70.2,3,No,,,
58,26/11/2022,Training,Endurance ,Full Session,Full Session,26/11/2022 16:05,26/11/2022 17:28,47425,FB,30,173,72,83,5653.3,68.1,6,No,,,
59,26/11/2022,Training,Endurance ,Full Session,Full Session,26/11/2022 16:05,26/11/2022 17:28,47426,CF,23,188,82,83,5507.3,66.4,7,No,,,
60,26/11/2022,Training,Endurance ,Full Session,Full Session,26/11/2022 16:05,26/11/2022 17:28,47427,CDM,30,181,76,83,6166.1,74.3,6,No,,,
61,26/11/2022,Training,Endurance ,Full Session,Full Session,26/11/2022 16:05,26/11/2022 17:28,47428,CB,37,180,85,83,5147.5,62,-,No,,,
42,28/11/2022,Training,Strength,Full Session,Full Session,28/11/2022 16:09,28/11/2022 17:15,47406,CB,30,189,86,59,"4,020.25",68.1,3,No,,,
43,28/11/2022,Training,Strength,Full Session,Full Session,28/11/2022 16:09,28/11/2022 17:15,47407,CB,24,188,89,59,"4,064.22",68.8,2,No,,,
44,28/11/2022,Training,Strength,Full Session,Full Session,28/11/2022 16:09,28/11/2022 17:15,47409,CM,32,186,78,59,"4,025.64",68.2,4,No,,,
45,28/11/2022,Training,Strength,Full Session,Full Session,28/11/2022 16:09,28/11/2022 17:15,47410,WF,29,185,80,59,"4,115.08",69.7,5,No,,,
46,28/11/2022,Training,Strength,Full Session,Full Session,28/11/2022 16:09,28/11/2022 17:15,47411,CAM,25,186,84,59,"4,165.91",70.6,4,No,,,
47,28/11/2022,Training,Strength,Full Session,Full Session,28/11/2022 16:09,28/11/2022 17:15,47413,WF,26,166,65,59,"4,030.37",68.3,3,No,,,
48,28/11/2022,Training,Strength,Full Session,Full Session,28/11/2022 16:09,28/11/2022 17:15,47414,CM,30,186,80,59,"4,324.26",73.3,4,No,,,
49,28/11/2022,Training,Strength,Full Session,Full Session,28/11/2022 16:09,28/11/2022 17:15,47416,FB,23,180,82,59,"4,133.27",70,3,No,,,
50,28/11/2022,Training,Strength,Full Session,Full Session,28/11/2022 16:09,28/11/2022 17:15,47422,FB,34,173,86,59,"4,003.22",67.8,3,No,,,
51,28/11/2022,Training,Strength,Full Session,Full Session,28/11/2022 16:09,28/11/2022 17:15,47423,CB,36,173,78,59,"4,161.67",70.5,3,No,,,
52,28/11/2022,Training,Strength,Full Session,Full Session,28/11/2022 16:09,28/11/2022 17:15,47425,FB,30,173,72,59,"4,020.21",68.1,5,No,,,
53,28/11/2022,Training,Strength,Full Session,Full Session,28/11/2022 16:09,28/11/2022 17:15,47426,CF,23,188,82,59,"3,945.46",66.8,4,No,,,
54,28/11/2022,Training,Strength,Full Session,Full Session,28/11/2022 16:09,28/11/2022 17:15,47427,CDM,30,181,76,59,"4,143.95",70.2,5,No,,,
55,28/11/2022,Training,Strength,Full Session,Full Session,28/11/2022 16:09,28/11/2022 17:15,47428,CB,37,180,85,59,"3,909.47",66.2,,No,,,
96,29/11/2022,Training,Speed,Full Session,Full Session,29/11/2022 16:07,29/11/2022 18:00,47406,CB,30,189,86,80,"7,027.50",88.1,5,No,,,
97,29/11/2022,Training,Speed,Full Session,Full Session,29/11/2022 16:07,29/11/2022 18:00,47407,CB,24,188,89,80,"7,040.90",88.3,5,No,,,
98,29/11/2022,Training,Speed,Full Session,Full Session,29/11/2022 16:07,29/11/2022 18:00,47409,CM,32,186,78,80,"1,716.80",21.5,7,No,,,
99,29/11/2022,Training,Speed,Full Session,Full Session,29/11/2022 16:07,29/11/2022 18:00,47410,WF,29,185,80,46,"3,830.90",82.4,6,No,,,
100,29/11/2022,Training,Speed,Full Session,Full Session,29/11/2022 16:07,29/11/2022 18:00,47411,CAM,25,186,84,80,"7,417.70",93,5,No,,,
101,29/11/2022,Training,Speed,Full Session,Full Session,29/11/2022 16:07,29/11/2022 18:00,47413,WF,26,166,65,80,"6,994.70",87.7,4,No,,,
102,29/11/2022,Training,Speed,Full Session,Full Session,29/11/2022 16:07,29/11/2022 18:00,47414,CM,30,186,80,80,"7,144.80",89.6,4,No,,,
103,29/11/2022,Training,Speed,Full Session,Full Session,29/11/2022 16:07,29/11/2022 18:00,47416,FB,23,180,82,80,"6,861.30",86.1,4,No,,,
104,29/11/2022,Training,Speed,Full Session,Full Session,29/11/2022 16:07,29/11/2022 18:00,47422,FB,34,173,86,80,"6,590.90",82.8,5,No,,,
105,29/11/2022,Training,Speed,Full Session,Full Session,29/11/2022 16:07,29/11/2022 18:00,47423,CB,36,173,78,80,"1,274.10",16,5,No,,,
106,29/11/2022,Training,Speed,Full Session,Full Session,29/11/2022 16:07,29/11/2022 18:00,47425,FB,30,173,72,80,"6,537.00",82,8,No,,,
107,29/11/2022,Training,Speed,Full Session,Full Session,29/11/2022 16:07,29/11/2022 18:00,47426,CF,23,188,82,80,"6,935.60",87,5,No,,,
108,29/11/2022,Training,Speed,Full Session,Full Session,29/11/2022 16:07,29/11/2022 18:00,47427,CDM,30,181,76,80,"7,600.50",95.3,7,No,,,
109,29/11/2022,Training,Speed,Full Session,Full Session,29/11/2022 16:07,29/11/2022 18:00,47428,CB,37,180,85,80,"6,906.10",86.6,-,No,,,
70,01/12/2022,Training,Speed,Full Session,Full Session,01/12/2022 16:00,01/12/2022 17:35,47407,CB,24,188,89,78,"5,072.10",64.9,4,No,,,
71,01/12/2022,Training,Speed,Full Session,Full Session,01/12/2022 16:00,01/12/2022 17:35,47410,WF,29,185,80,78,"5,344.10",68.4,6,No,,,
72,01/12/2022,Training,Speed,Full Session,Full Session,01/12/2022 16:00,01/12/2022 17:35,47411,CAM,25,186,84,78,"5,850.60",74.9,4,No,,,
73,01/12/2022,Training,Speed,Full Session,Full Session,01/12/2022 16:00,01/12/2022 17:35,47412,CF,29,186,79,78,"5,287.00",67.7,6,No,,,
74,01/12/2022,Training,Speed,Full Session,Full Session,01/12/2022 16:00,01/12/2022 17:35,47413,WF,26,166,65,78,"4,800.90",61.4,3,No,,,
75,01/12/2022,Training,Speed,Full Session,Full Session,01/12/2022 16:00,01/12/2022 17:35,47414,CM,30,186,80,78,"6,076.20",77.8,4,No,,,
76,01/12/2022,Training,Speed,Full Session,Full Session,01/12/2022 16:00,01/12/2022 17:35,47416,FB,23,180,82,78,"5,411.80",69.3,3,No,,,
77,01/12/2022,Training,Speed,Full Session,Full Session,01/12/2022 16:00,01/12/2022 17:35,47420,WF,27,164,65,75,"5,319.50",70.5,6,No,,,
78,01/12/2022,Training,Speed,Full Session,Full Session,01/12/2022 16:00,01/12/2022 17:35,47422,FB,34,173,86,78,"5,007.70",64.1,5,No,,,
79,01/12/2022,Training,Speed,Full Session,Full Session,01/12/2022 16:00,01/12/2022 17:35,47423,CB,36,173,78,78,"4,897.60",62.7,5,No,,,
80,01/12/2022,Training,Speed,Full Session,Full Session,01/12/2022 16:00,01/12/2022 17:35,47425,FB,30,173,72,78,"5,019.10",64.2,6,No,,,
81,01/12/2022,Training,Speed,Full Session,Full Session,01/12/2022 16:00,01/12/2022 17:35,47426,CF,23,188,82,78,"5,311.70",68,6,No,,,
82,01/12/2022,Training,Speed,Full Session,Full Session,01/12/2022 16:00,01/12/2022 17:35,47427,CDM,30,181,76,78,"5,666.80",72.5,7,No,,,
83,01/12/2022,Training,Speed,Full Session,Full Session,01/12/2022 16:00,01/12/2022 17:35,47428,CB,37,180,85,78,"4,737.50",60.6,6,No,,,
43,02/12/2022,Training,Activation,Full Session,Full Session,02/12/2022 13:25,02/12/2022 14:40,47406,CB,30,189,86,57,"3,414.40",60,2,No,,,
44,02/12/2022,Training,Activation,Full Session,Full Session,02/12/2022 13:25,02/12/2022 14:40,47407,CB,24,188,89,57,"3,433.20",60.4,2,No,,,
45,02/12/2022,Training,Activation,Full Session,Full Session,02/12/2022 13:25,02/12/2022 14:40,47409,CM,32,186,78,57,"3,537.30",62.2,5,No,,,
46,02/12/2022,Training,Activation,Full Session,Full Session,02/12/2022 13:25,02/12/2022 14:40,47410,WF,29,185,80,26,"1,573.90",61.4,5,No,,,
47,02/12/2022,Training,Activation,Full Session,Full Session,02/12/2022 13:25,02/12/2022 14:40,47411,CAM,25,186,84,57,"3,340.30",58.7,2,No,,,
48,02/12/2022,Training,Activation,Full Session,Full Session,02/12/2022 13:25,02/12/2022 14:40,47412,CF,29,186,79,57,"3,236.30",57.2,4,No,,,
49,02/12/2022,Training,Activation,Full Session,Full Session,02/12/2022 13:25,02/12/2022 14:40,47413,WF,26,166,65,57,"3,305.40",58.1,2,No,,,
50,02/12/2022,Training,Activation,Full Session,Full Session,02/12/2022 13:25,02/12/2022 14:40,47416,FB,23,180,82,57,"3,428.80",60.3,2,No,,,
51,02/12/2022,Training,Activation,Full Session,Full Session,02/12/2022 13:25,02/12/2022 14:40,47420,WF,27,164,65,57,"3,409.50",59.9,4,No,,,
52,02/12/2022,Training,Activation,Full Session,Full Session,02/12/2022 13:25,02/12/2022 14:40,47422,FB,34,173,86,50,"3,092.20",61.4,2,No,,,
53,02/12/2022,Training,Activation,Full Session,Full Session,02/12/2022 13:25,02/12/2022 14:40,47423,CB,36,173,78,55,"2,987.20",53.8,3,No,,,
54,02/12/2022,Training,Activation,Full Session,Full Session,02/12/2022 13:25,02/12/2022 14:40,47425,FB,30,173,72,57,"3,172.80",55.8,5,No,,,
55,02/12/2022,Training,Activation,Full Session,Full Session,02/12/2022 13:25,02/12/2022 14:40,47426,CF,23,188,82,56,"3,217.30",57.2,6,No,,,
56,02/12/2022,Training,Activation,Full Session,Full Session,02/12/2022 13:25,02/12/2022 14:40,47427,CDM,30,181,76,56,"3,593.20",63.9,6,No,,,
57,02/12/2022,Training,Activation,Full Session,Full Session,02/12/2022 13:25,02/12/2022 14:40,47428,CB,37,180,85,57,"3,287.50",57.8,3,No,,,
21,05/12/2022,Training,Speed,Full Session,Full Session,05/12/2022 14:29,05/12/2022 16:29,47410,WF,29,185,80,51,"3,923.10",76.4,6,No,,,
22,05/12/2022,Training,Speed,Full Session,Full Session,05/12/2022 14:29,05/12/2022 16:29,47412,CF,29,186,79,51,"3,726.70",73.5,6,No,,,
23,05/12/2022,Training,Speed,Full Session,Full Session,05/12/2022 14:29,05/12/2022 16:29,47415,CM,27,178,75,51,"4,003.10",78,4,No,,,
24,05/12/2022,Training,Speed,Full Session,Full Session,05/12/2022 14:29,05/12/2022 16:29,47420,WF,27,164,65,51,"3,927.40",77.3,5,No,,,
25,05/12/2022,Training,Speed,Full Session,Full Session,05/12/2022 14:29,05/12/2022 16:29,47422,FB,34,173,86,51,"3,887.60",76,4,No,,,
26,05/12/2022,Training,Speed,Full Session,Full Session,05/12/2022 14:29,05/12/2022 16:29,47423,CB,36,173,78,51,"3,734.20",73.2,4,No,,,
27,05/12/2022,Training,Speed,Full Session,Full Session,05/12/2022 14:29,05/12/2022 16:29,47428,CB,37,180,85,51,"3,946.50",76.9,5,No,,,
56,06/12/2022,Training,Speed,Full Session,Full Session,06/12/2022 16:10,06/12/2022 17:15,47407,CB,24,188,89,61,"3,264.30",53.1,2,No,,,
57,06/12/2022,Training,Speed,Full Session,Full Session,06/12/2022 16:10,06/12/2022 17:15,47409,CM,32,186,78,61,"3,072.30",50,2,No,,,
58,06/12/2022,Training,Speed,Full Session,Full Session,06/12/2022 16:10,06/12/2022 17:15,47410,WF,29,185,80,61,"3,118.30",50.7,3,No,,,
