Jersey No.,Date,Activity Title,Position,Age,Height (cm),Weight (kg),Duration (min),Total Distance (m),Distance/min (m/min),RPE,Injury,Training Load
47422,19/01/2023,Speed,FB,34,173,86,79,4904.0,62.3,5.0,0,305.52
47423,19/01/2023,Speed,CB,36,173,78,79,4346.0,55.2,4.0,0,239.9
47425,19/01/2023,Speed,FB,30,173,72,79,4658.1,59.2,5.0,0,275.76
47426,19/01/2023,Speed,CF,23,188,82,79,4884.2,62.0,6.0,0,302.82
47427,19/01/2023,Speed,CDM,30,181,76,79,505.3,6.4,3.0,0,3.23
47406,20/01/2023,Activation,CB,30,189,86,59,3498.2,59.1,3.0,0,206.74
47407,20/01/2023,Activation,CB,24,188,89,62,3813.1,61.2,3.0,0,233.36
47409,20/01/2023,Activation,CM,32,186,78,58,3710.0,63.6,5.0,0,235.96
47410,20/01/2023,Activation,WF,29,185,80,64,3693.0,57.3,5.0,0,211.61
47411,20/01/2023,Activation,CAM,25,186,84,53,4157.2,77.8,3.0,0,323.43
47413,20/01/2023,Activation,WF,26,166,65,62,3877.7,62.6,3.0,0,242.74
47414,20/01/2023,Activation,CM,30,186,80,65,4549.7,70.0,3.0,0,318.48
47415,20/01/2023,Activation,CM,27,178,75,62,3810.5,61.0,3.0,0,232.44
47416,20/01/2023,Activation,FB,23,180,82,62,4170.5,67.1,4.0,0,279.84
47420,20/01/2023,Activation,WF,27,164,65,61,4180.4,68.3,6.0,0,285.52
47422,20/01/2023,Activation,FB,34,173,86,60,3448.8,57.9,3.0,0,199.69
47425,20/01/2023,Activation,FB,30,173,72,57,3496.3,60.9,5.0,0,212.92
47426,20/01/2023,Activation,CF,23,188,82,61,3671.3,60.3,6.0,0,221.38
47427,20/01/2023,Activation,CDM,30,181,76,60,3676.8,61.0,6.0,0,224.28
47406,24/01/2023,Strength,CB,30,189,86,70,4494.5,63.9,3.0,0,287.2
47407,24/01/2023,Strength,CB,24,188,89,70,4916.0,69.9,3.0,0,343.63
47409,24/01/2023,Strength,CM,32,186,78,70,5141.2,73.1,7.0,0,375.82
47411,24/01/2023,Strength,CAM,25,186,84,70,5171.1,73.5,5.0,0,380.08
47413,24/01/2023,Strength,WF,26,166,65,70,4684.3,66.6,4.0,0,311.97
47415,24/01/2023,Strength,CM,27,178,75,70,4662.9,66.3,4.0,0,309.15
47416,24/01/2023,Strength,FB,23,180,82,70,4793.8,68.1,4.0,0,326.46
47420,24/01/2023,Strength,WF,27,164,65,70,4810.9,68.5,6.0,0,329.55
47422,24/01/2023,Strength,FB,34,173,86,70,4511.5,64.1,5.0,0,289.19
47423,24/01/2023,Strength,CB,36,173,78,70,4387.0,62.3,5.0,0,273.31
47425,24/01/2023,Strength,FB,30,173,72,69,4498.5,65.3,6.0,0,293.75
47427,24/01/2023,Strength,CDM,30,181,76,70,4926.9,70.3,6.0,0,346.36
47406,25/01/2023,Endurance,CB,30,189,86,74,5878.3,78.9,5.0,0,463.8
47407,25/01/2023,Endurance,CB,24,188,89,74,5854.5,78.6,4.0,0,460.16
47409,25/01/2023,Endurance,CM,32,186,78,74,6438.6,86.4,7.0,0,556.3
47410,25/01/2023,Endurance,WF,29,185,80,74,5772.3,77.5,7.0,0,447.35
47411,25/01/2023,Endurance,CAM,25,186,84,74,7007.1,94.1,4.0,0,659.37
47413,25/01/2023,Endurance,WF,26,166,65,74,5958.6,80.0,4.0,0,476.69
47414,25/01/2023,Endurance,CM,30,186,80,74,7074.9,95.0,5.0,0,672.12
47415,25/01/2023,Endurance,CM,27,178,75,74,6711.6,90.1,4.0,0,604.72
47416,25/01/2023,Endurance,FB,23,180,82,74,6081.7,81.7,5.0,0,496.87
47420,25/01/2023,Endurance,WF,27,164,65,74,6680.0,89.7,6.0,0,599.2
47422,25/01/2023,Endurance,FB,34,173,86,74,5792.0,77.8,5.0,0,450.62
47423,25/01/2023,Endurance,CB,36,173,78,74,5803.5,77.9,5.0,0,452.09
47425,25/01/2023,Endurance,FB,30,173,72,74,5913.0,79.4,7.0,0,469.49
47426,25/01/2023,Endurance,CF,23,188,82,32,2251.0,70.5,6.0,0,158.7
47427,25/01/2023,Endurance,CDM,30,181,76,74,6970.5,93.6,7.0,0,652.44
47406,26/01/2023,Speed,CB,30,189,86,60,3109.1,51.5,2.0,0,160.12
47409,26/01/2023,Speed,CM,32,186,78,62,3662.1,58.6,4.0,0,214.6
47410,26/01/2023,Speed,WF,29,185,80,62,3322.2,53.2,5.0,0,176.74
47411,26/01/2023,Speed,CAM,25,186,84,62,3603.8,57.7,3.0,0,207.94
47413,26/01/2023,Speed,WF,26,166,65,47,2088.1,44.3,1.0,0,92.5
47414,26/01/2023,Speed,CM,30,186,80,62,3992.3,63.9,2.0,0,255.11
47415,26/01/2023,Speed,CM,27,178,75,60,3456.4,57.7,2.0,0,199.43
47416,26/01/2023,Speed,FB,23,180,82,62,3681.2,59.4,4.0,0,218.66
47420,26/01/2023,Speed,WF,27,164,65,62,3728.2,59.7,5.0,0,222.57
47422,26/01/2023,Speed,FB,34,173,86,62,3979.6,63.7,3.0,0,253.5
47423,26/01/2023,Speed,CB,36,173,78,62,3290.1,52.7,3.0,0,173.39
47425,26/01/2023,Speed,FB,30,173,72,60,3432.7,57.1,5.0,0,196.01
47426,26/01/2023,Speed,CF,23,188,82,62,3501.3,56.1,7.0,0,196.42
47427,26/01/2023,Speed,CDM,30,181,76,62,3728.8,59.7,7.0,0,222.61
47409,30/01/2023,Recovery,CM,32,186,78,39,2771.8,70.5,4.0,0,195.41
47410,30/01/2023,Recovery,WF,29,185,80,39,2627.4,66.8,5.0,0,175.51
47411,30/01/2023,Recovery,CAM,25,186,84,47,3588.1,75.8,3.0,0,271.98
47413,30/01/2023,Recovery,WF,26,166,65,26,1702.1,66.1,1.0,0,112.51
47414,30/01/2023,Recovery,CM,30,186,80,39,2984.6,75.9,2.0,0,226.53
47420,30/01/2023,Recovery,WF,27,164,65,39,2882.9,73.3,4.0,0,211.32
47422,30/01/2023,Recovery,FB,34,173,86,47,3602.1,76.1,7.0,0,274.12
47425,30/01/2023,Recovery,FB,30,173,72,39,2414.2,61.4,5.0,0,148.23
47426,30/01/2023,Recovery,CF,23,188,82,47,3352.2,70.8,4.0,0,237.34
47427,30/01/2023,Recovery,CDM,30,181,76,39,2803.9,71.3,4.0,0,199.92
47406,31/01/2023,Strength,CB,30,189,86,61,2972.3,48.5,3.0,0,144.16
47407,31/01/2023,Strength,CB,24,188,89,61,3167.0,51.6,4.0,0,163.42
47409,31/01/2023,Strength,CM,32,186,78,61,3839.8,62.6,8.0,0,240.37
47410,31/01/2023,Strength,WF,29,185,80,61,3452.1,56.3,7.0,0,194.35
47411,31/01/2023,Strength,CAM,25,186,84,61,3766.5,61.4,4.0,0,231.26
47413,31/01/2023,Strength,WF,26,166,65,61,2926.2,47.7,4.0,0,139.58
47414,31/01/2023,Strength,CM,30,186,80,61,3806.0,62.1,4.0,0,236.35
47415,31/01/2023,Strength,CM,27,178,75,61,3681.6,60.0,4.0,0,220.9
47416,31/01/2023,Strength,FB,23,180,82,61,3494.3,57.0,4.0,0,199.18
47420,31/01/2023,Strength,WF,27,164,65,61,3569.7,58.2,6.0,0,207.76
47422,31/01/2023,Strength,FB,34,173,86,61,3714.7,60.6,5.0,0,225.11
47423,31/01/2023,Strength,CB,36,173,78,61,463.0,7.5,5.0,0,3.47
47425,31/01/2023,Strength,FB,30,173,72,61,3592.9,58.6,7.0,0,210.54
47426,31/01/2023,Strength,CF,23,188,82,61,3442.9,56.1,8.0,0,193.15
47427,31/01/2023,Strength,CDM,30,181,76,61,3569.6,58.5,6.0,0,208.82
47407,01/02/2023,Endurance ,CB,24,188,89,80,6103.0,76.8,4.0,0,468.71
47409,01/02/2023,Endurance ,CM,32,186,78,89,7105.7,80.2,8.0,0,569.88
47411,01/02/2023,Endurance ,CAM,25,186,84,89,7318.6,82.6,5.0,0,604.52
47415,01/02/2023,Endurance ,CM,27,178,75,89,6958.9,78.5,5.0,0,546.27
47416,01/02/2023,Endurance ,FB,23,180,82,89,6633.1,74.8,5.0,0,496.16
47420,01/02/2023,Endurance ,WF,27,164,65,89,6520.6,73.6,7.0,0,479.92
47425,01/02/2023,Endurance ,FB,30,173,72,89,6651.9,75.0,8.0,0,498.89
47426,01/02/2023,Endurance ,CF,23,188,82,89,6296.2,71.0,8.0,0,447.03
47427,01/02/2023,Endurance ,CDM,30,181,76,89,7111.3,80.2,7.0,0,570.33
47407,03/02/2023,Speed,CB,24,188,89,54,2331.6,42.8,2.0,0,99.79
47409,03/02/2023,Speed,CM,32,186,78,54,2633.5,48.4,6.0,0,127.46
47410,03/02/2023,Speed,WF,29,185,80,54,2291.6,42.1,6.0,0,96.48
47411,03/02/2023,Speed,CAM,25,186,84,54,2948.8,54.2,3.0,0,159.82
47413,03/02/2023,Speed,WF,26,166,65,54,2392.6,44.0,3.0,0,105.27
47414,03/02/2023,Speed,CM,30,186,80,54,2948.2,54.2,2.0,0,159.79
47415,03/02/2023,Speed,CM,27,178,75,54,2649.7,48.7,3.0,0,129.04
47420,03/02/2023,Speed,WF,27,164,65,54,2671.1,49.1,2.0,0,131.15
47422,03/02/2023,Speed,FB,34,173,86,54,2818.7,51.8,3.0,0,146.01
47423,03/02/2023,Speed,CB,36,173,78,54,2312.0,42.5,3.0,0,98.26
47425,03/02/2023,Speed,FB,30,173,72,54,2723.0,50.0,6.0,0,136.15
47426,03/02/2023,Speed,CF,23,188,82,54,2638.0,48.5,8.0,0,127.94
47427,03/02/2023,Speed,CDM,30,181,76,54,2997.9,55.1,5.0,0,165.18
47406,08/02/2023,Endurance,CB,30,189,86,64,5311.5,82.7,4.0,0,439.26
47409,08/02/2023,Endurance,CM,32,186,78,84,8139.9,96.6,8.0,0,786.31
47410,08/02/2023,Endurance,WF,29,185,80,84,6994.1,83.0,7.0,0,580.51
47411,08/02/2023,Endurance,CAM,25,186,84,74,6531.6,88.0,5.0,0,574.78
47413,08/02/2023,Endurance,WF,26,166,65,84,7356.7,87.3,5.0,0,642.24
47414,08/02/2023,Endurance,CM,30,186,80,84,8929.6,106.3,5.0,1,949.22
47415,08/02/2023,Endurance,CM,27,178,75,84,8341.7,99.0,6.0,0,825.83
47416,08/02/2023,Endurance,FB,23,180,82,84,7918.8,94.0,5.0,0,744.37
47422,08/02/2023,Endurance,FB,34,173,86,84,7855.5,93.2,6.0,0,732.13
47423,08/02/2023,Endurance,CB,36,173,78,84,7912.8,93.9,6.0,0,743.01
47425,08/02/2023,Endurance,FB,30,173,72,84,7441.7,88.7,7.0,0,660.08
47426,08/02/2023,Endurance,CF,23,188,82,84,7799.9,92.6,8.0,0,722.27
47427,08/02/2023,Endurance,CDM,30,181,76,84,8736.2,104.0,9.0,1,908.56
47407,13/02/2023,Endurance,CB,24,188,89,62,5297.6,85.2,3.0,0,451.36
47409,13/02/2023,Endurance,CM,32,186,78,62,5215.8,83.9,8.0,0,437.61
47410,13/02/2023,Endurance,WF,29,185,80,62,4920.0,79.1,7.0,0,389.17
47411,13/02/2023,Endurance,CAM,25,186,84,62,4869.5,78.3,3.0,0,381.28
47414,13/02/2023,Endurance,CM,30,186,80,62,5457.5,87.8,4.0,0,479.17
47415,13/02/2023,Endurance,CM,27,178,75,62,4769.3,76.7,3.0,0,365.81
47416,13/02/2023,Endurance,FB,23,180,82,62,4887.0,78.6,4.0,0,384.12
47423,13/02/2023,Endurance,CB,36,173,78,62,4593.7,73.9,3.0,0,339.47
47425,13/02/2023,Endurance,FB,30,173,72,55,3562.5,65.0,6.0,0,231.56
47426,13/02/2023,Endurance,CF,23,188,82,62,5036.0,81.0,8.0,0,407.92
47406,14/02/2023,Speed,CB,30,189,86,61,4352.7,71.2,2.0,0,309.91
47407,14/02/2023,Speed,CB,24,188,89,61,4984.7,81.5,3.0,0,406.25
47409,14/02/2023,Speed,CM,32,186,78,61,4912.2,80.4,6.0,0,394.94
47410,14/02/2023,Speed,WF,29,185,80,60,4820.3,79.8,6.0,0,384.66
47411,14/02/2023,Speed,CAM,25,186,84,61,4901.8,80.2,3.0,0,393.12
47414,14/02/2023,Speed,CM,30,186,80,61,4715.7,77.1,3.0,0,363.58
47415,14/02/2023,Speed,CM,27,178,75,61,4490.1,73.4,3.0,0,329.57
47420,14/02/2023,Speed,WF,27,164,65,60,7071.7,117.85,8.0,1,833.4
47422,14/02/2023,Speed,FB,34,173,86,61,4844.8,79.2,4.0,0,383.71
47423,14/02/2023,Speed,CB,36,173,78,61,4939.6,80.8,4.0,0,399.12
47427,14/02/2023,Speed,CDM,30,181,76,61,4405.7,72.1,6.0,0,317.65
47406,17/02/2023,Endurance ,CB,30,189,86,49,3326.1,67.6,3.0,0,224.84
47409,17/02/2023,Endurance ,CM,32,186,78,49,3694.2,75.1,5.0,0,277.43
47410,17/02/2023,Endurance ,WF,29,185,80,49,3784.5,76.9,5.0,0,291.03
47411,17/02/2023,Endurance ,CAM,25,186,84,49,3945.6,80.2,3.0,0,316.44
47413,17/02/2023,Endurance ,WF,26,166,65,49,3328.7,67.6,3.0,0,225.02
47414,17/02/2023,Endurance ,CM,30,186,80,49,4115.3,83.6,4.0,0,344.04
47415,17/02/2023,Endurance ,CM,27,178,75,49,3676.3,74.7,3.0,0,274.62
47416,17/02/2023,Endurance ,FB,23,180,82,49,3686.6,74.9,3.0,0,276.13
47422,17/02/2023,Endurance ,FB,34,173,86,49,3769.0,76.6,3.0,0,288.71
47423,17/02/2023,Endurance ,CB,36,173,78,49,3175.5,64.5,4.0,0,204.82
47425,17/02/2023,Endurance ,FB,30,173,72,49,3226.9,65.6,4.0,0,211.68
47426,17/02/2023,Endurance ,CF,23,188,82,49,3497.4,71.1,5.0,0,248.67
47427,17/02/2023,Endurance ,CDM,30,181,76,49,3920.5,79.7,5.0,0,312.46
47406,18/02/2023,Activation,CB,30,189,86,49,3197.85,65.3,2.0,0,208.82
47409,18/02/2023,Activation,CM,32,186,78,49,3151.03,64.3,2.0,0,202.61
47410,18/02/2023,Activation,WF,29,185,80,49,3382.12,69.0,3.0,0,233.37
47411,18/02/2023,Activation,CAM,25,186,84,49,3248.37,66.3,2.0,0,215.37
47413,18/02/2023,Activation,WF,26,166,65,49,3194.79,65.2,2.0,0,208.3
47414,18/02/2023,Activation,CM,30,186,80,49,3141.2,64.1,2.0,0,201.35
47415,18/02/2023,Activation,CM,27,178,75,49,3194.47,65.2,2.0,0,208.28
47416,18/02/2023,Activation,FB,23,180,82,49,3455.44,70.5,3.0,0,243.61
47422,18/02/2023,Activation,FB,34,173,86,49,3133.47,63.9,3.0,0,200.23
47423,18/02/2023,Activation,CB,36,173,78,49,3371.79,68.8,2.0,0,231.98
47425,18/02/2023,Activation,FB,30,173,72,49,3028.11,61.8,2.0,0,187.14
47426,18/02/2023,Activation,CF,23,188,82,49,3277.83,66.9,3.0,0,219.29
47427,18/02/2023,Activation,CDM,30,181,76,49,3187.7,65.0,2.0,0,207.2
47413,22/02/2023,Strength,WF,26,166,65,71,5000.3,70.4,5.0,0,352.02
47414,22/02/2023,Strength,CM,30,186,80,71,5117.1,72.1,4.0,0,368.94
47415,22/02/2023,Strength,CM,27,178,75,71,4879.9,68.7,5.0,0,335.25
47416,22/02/2023,Strength,FB,23,180,82,71,4902.2,69.0,4.0,0,338.25
47422,22/02/2023,Strength,FB,34,173,86,71,4681.0,65.9,5.0,0,308.48
47423,22/02/2023,Strength,CB,36,173,78,71,4939.5,69.6,5.0,0,343.79
47425,22/02/2023,Strength,FB,30,173,72,71,4730.3,66.6,7.0,0,315.04
47426,22/02/2023,Strength,CF,23,188,82,71,4649.5,65.5,8.0,0,304.54
47427,22/02/2023,Strength,CDM,30,181,76,71,4942.3,69.6,7.0,0,343.98
47406,23/02/2023,Endurance,CB,30,189,86,75,6104.4,80.9,4.0,0,493.85
47409,23/02/2023,Endurance,CM,32,186,78,75,6700.5,88.7,7.0,0,594.33
47411,23/02/2023,Endurance,CAM,25,186,84,75,6721.1,89.0,4.0,0,598.18
47413,23/02/2023,Endurance,WF,26,166,65,75,6407.4,84.9,4.0,0,543.99
47414,23/02/2023,Endurance,CM,30,186,80,55,4833.2,87.2,4.0,0,421.46
47415,23/02/2023,Endurance,CM,27,178,75,75,6856.9,90.8,4.0,0,622.61
47416,23/02/2023,Endurance,FB,23,180,82,75,6793.6,90.0,4.0,0,611.42
47422,23/02/2023,Endurance,FB,34,173,86,75,6071.9,80.4,4.0,0,488.18
47425,23/02/2023,Endurance,FB,30,173,72,75,6033.5,79.9,7.0,0,482.08
47426,23/02/2023,Endurance,CF,23,188,82,75,6250.8,82.8,7.0,0,517.57
47406,24/02/2023,Speed,CB,30,189,86,61,4058.3,66.6,2.0,0,270.28
47407,24/02/2023,Speed,CB,24,188,89,61,4535.7,74.4,2.0,0,337.46
47409,24/02/2023,Speed,CM,32,186,78,61,4329.8,71.1,3.0,0,307.85
47410,24/02/2023,Speed,WF,29,185,80,61,4581.7,75.2,2.0,0,344.54
47411,24/02/2023,Speed,CAM,25,186,84,61,4456.2,73.1,2.0,0,325.75
47413,24/02/2023,Speed,WF,26,166,65,52,2763.0,53.4,2.0,0,147.54
47414,24/02/2023,Speed,CM,30,186,80,61,5120.3,84.0,7.0,1,430.11
47415,24/02/2023,Speed,CM,27,178,75,61,4272.0,70.1,2.0,0,299.47
47416,24/02/2023,Speed,FB,23,180,82,61,4736.3,77.7,2.0,0,368.01
47423,24/02/2023,Speed,CB,36,173,78,61,4346.3,71.3,3.0,0,309.89
47425,24/02/2023,Speed,FB,30,173,72,61,4649.0,76.3,3.0,0,354.72
47426,24/02/2023,Speed,CF,23,188,82,61,4351.8,71.4,3.0,0,310.72
47427,24/02/2023,Speed,CDM,30,181,76,61,4714.2,77.4,3.0,0,364.88
47409,01/03/2023,Strength,CM,32,186,78,75,5695.5,76.0,9.0,0,432.86
47410,01/03/2023,Strength,WF,29,185,80,75,5092.0,67.9,8.0,0,345.75
47416,01/03/2023,Strength,FB,23,180,82,63,4321.3,68.1,6.0,0,294.28
47420,01/03/2023,Strength,WF,27,164,65,75,5912.2,78.8,7.0,0,465.88
47422,01/03/2023,Strength,FB,34,173,86,75,5251.0,70.0,9.0,0,367.57
47423,01/03/2023,Strength,CB,36,173,78,75,5378.8,71.7,5.0,0,385.66
47425,01/03/2023,Strength,FB,30,173,72,75,5358.0,71.5,9.0,0,383.1
47426,01/03/2023,Strength,CF,23,188,82,75,5119.9,68.3,6.0,0,349.69
47427,01/03/2023,Strength,CDM,30,181,76,75,5910.2,78.8,7.0,0,465.72
47409,02/03/2023,Endurance ,CM,32,186,78,72,6489.1,90.5,9.0,0,587.26
47410,02/03/2023,Endurance ,WF,29,185,80,72,6243.8,87.1,9.0,0,543.83
47416,02/03/2023,Endurance ,FB,23,180,82,72,6130.9,85.5,5.0,0,524.19
47420,02/03/2023,Endurance ,WF,27,164,65,72,6563.4,91.6,7.0,0,601.21
47422,02/03/2023,Endurance ,FB,34,173,86,72,6184.6,86.3,6.0,0,533.73
47425,02/03/2023,Endurance,FB,30,173,72,72,6146.7,85.8,9.0,1,527.39
47426,02/03/2023,Endurance,CF,23,188,82,72,6108.7,85.2,8.0,0,520.46
47427,02/03/2023,Endurance,CDM,30,181,76,72,6844.6,95.5,8.0,1,653.66
47409,07/03/2023,Endurance,CM,32,186,78,70,4634.7,66.2,4.0,0,306.82
47410,07/03/2023,Strength,WF,29,185,80,70,4628.34,66.1,2.0,0,305.93
47411,07/03/2023,Strength,CAM,25,186,84,70,4670.2,66.7,2.0,0,311.5
47413,07/03/2023,Strength,WF,26,166,65,70,4650.5,66.4,1.0,0,308.79
47414,07/03/2023,Strength,CM,30,186,80,70,4878.5,69.7,3.0,0,340.03
47415,07/03/2023,Strength,CM,27,178,75,70,4801.76,68.6,1.0,0,329.4
47416,07/03/2023,Strength,FB,23,180,82,70,4737.9,67.7,3.0,0,320.76
47420,07/03/2023,Strength,WF,27,164,65,70,4680.4,66.9,3.0,0,313.12
47422,07/03/2023,Strength,FB,34,173,86,70,4638.6,66.3,4.0,0,307.54
47423,07/03/2023,Strength,CB,36,173,78,70,4518.2,64.5,1.0,0,291.42
47425,07/03/2023,Strength,FB,30,173,72,70,1552.0,22.2,1.0,0,34.45
47426,07/03/2023,Strength,CF,23,188,82,70,4580.1,65.4,2.0,0,299.54
47409,08/03/2023,Endurance,CM,32,186,78,80,7253.8,90.7,7.0,0,657.92
47410,08/03/2023,Endurance,WF,29,185,80,80,6779.7,84.7,8.0,0,574.24
47411,08/03/2023,Endurance,CAM,25,186,84,80,7747.2,96.8,5.0,0,749.93
47413,08/03/2023,Endurance,WF,26,166,65,80,6979.7,87.2,5.0,0,608.63
47414,08/03/2023,Endurance,CM,30,186,80,80,7826.5,97.8,5.0,0,765.43
47415,08/03/2023,Endurance,CM,27,178,75,80,7382.6,92.3,4.0,0,681.41
47416,08/03/2023,Endurance,FB,23,180,82,80,7271.9,90.9,5.0,0,661.02
47420,08/03/2023,Endurance,WF,27,164,65,80,7441.8,93.0,7.0,0,692.09
47422,08/03/2023,Endurance,FB,34,173,86,80,7048.2,88.1,3.0,0,620.95
47423,08/03/2023,Endurance,CB,36,173,78,80,7105.0,88.8,6.0,0,630.92
47425,08/03/2023,Endurance,FB,30,173,72,29,1712.6,59.1,3.0,0,101.21
47426,08/03/2023,Endurance,CF,23,188,82,80,6579.2,82.2,7.0,0,540.81
47427,08/03/2023,Endurance,CDM,30,181,76,80,7733.8,96.7,7.0,0,747.86
47406,09/03/2023,Speed,CB,30,189,86,63,3575.9,56.9,3.0,0,203.47
47410,09/03/2023,Speed,WF,29,185,80,63,4320.7,68.7,5.0,0,296.83
47411,09/03/2023,Speed,CAM,25,186,84,63,5328.6,84.8,4.0,0,451.87
47413,09/03/2023,Speed,WF,26,166,65,63,3845.7,61.2,3.0,0,235.36
47414,09/03/2023,Speed,CM,30,186,80,63,5374.4,85.5,3.0,0,459.51
47415,09/03/2023,Speed,CM,27,178,75,63,4631.9,73.7,3.0,0,341.37
47416,09/03/2023,Speed,FB,23,180,82,63,4460.8,71.0,3.0,0,316.72
47420,09/03/2023,Speed,WF,27,164,65,63,4818.5,76.6,4.0,0,369.1
47422,09/03/2023,Speed,FB,34,173,86,63,4654.5,74.0,3.0,0,344.43
47423,09/03/2023,Speed,CB,36,173,78,63,4250.3,67.6,3.0,0,287.32
47426,09/03/2023,Speed,CF,23,188,82,63,4320.7,68.7,4.0,0,296.83
47427,09/03/2023,Speed,CDM,30,181,76,63,5143.6,81.8,5.0,0,420.75
47407,17/03/2023,Endurance,CB,24,188,89,73,6245.8,85.5,5.0,0,534.02
47410,17/03/2023,Endurance,WF,29,185,80,73,5596.3,76.6,7.0,0,428.68
47411,17/03/2023,Endurance,CAM,25,186,84,73,6719.9,91.9,5.0,0,617.56
47416,17/03/2023,Endurance,FB,23,180,82,73,6304.9,86.3,5.0,0,544.11
47420,17/03/2023,Endurance,WF,27,164,65,73,6714.4,91.9,7.0,0,617.05
47422,17/03/2023,Endurance,FB,34,173,86,73,6207.2,84.9,6.0,0,526.99
47425,17/03/2023,Endurance,FB,30,173,72,73,5450.3,74.6,5.0,0,406.59
47407,20/03/2023,Endurance,CB,24,188,89,74,6778.4,91.0,4.0,0,616.83
47409,20/03/2023,Endurance,CM,32,186,78,89,7113.2,80.0,8.0,0,569.06
47410,20/03/2023,Endurance,WF,29,185,80,88,6998.4,79.3,7.0,0,554.97
47411,20/03/2023,Endurance,CAM,25,186,84,89,8656.9,97.3,7.0,1,842.32
47416,20/03/2023,Endurance,FB,23,180,82,89,7526.4,84.7,4.0,0,637.49
47420,20/03/2023,Endurance,WF,27,164,65,89,8387.8,94.4,5.0,0,791.81
47423,20/03/2023,Endurance,CB,36,173,78,74,6548.8,87.9,4.0,0,575.64
47425,20/03/2023,Endurance,FB,30,173,72,73,3707.9,50.5,5.0,0,187.25
47407,21/03/2023,Endurance,CB,24,188,89,46,3649.8,78.8,4.0,0,287.6
47409,21/03/2023,Endurance,CM,32,186,78,46,3712.0,81.5,7.0,0,302.53
47410,21/03/2023,Endurance,WF,29,185,80,9,667.0,75.2,5.0,0,50.16
47415,21/03/2023,Endurance,CM,27,178,75,45,3632.8,81.1,4.0,0,294.62
47416,21/03/2023,Endurance,FB,23,180,82,46,3470.3,75.0,4.0,0,260.27
47422,21/03/2023,Endurance,FB,34,173,86,46,3728.1,81.2,7.0,0,302.72
47423,21/03/2023,Endurance,CB,36,173,78,46,3541.5,76.5,5.0,0,270.92
47426,21/03/2023,Endurance,CF,23,188,82,46,3678.4,80.1,7.0,0,294.64
47407,22/03/2023,Speed,CB,24,188,89,52,3712.0,71.2,3.0,0,264.29
47409,22/03/2023,Speed,CM,32,186,78,52,3919.5,75.1,6.0,0,294.35
47410,22/03/2023,Speed,WF,29,185,80,52,3259.2,62.5,5.0,0,203.7
47415,22/03/2023,Speed,CM,27,178,75,52,3148.6,60.4,3.0,0,190.18
47416,22/03/2023,Speed,FB,23,180,82,52,3893.0,74.6,4.0,0,290.42
47420,22/03/2023,Speed,WF,27,164,65,52,3923.9,75.2,5.0,0,295.08
47422,22/03/2023,Speed,FB,34,173,86,52,3678.4,70.7,4.0,0,260.06
47423,22/03/2023,Speed,CB,36,173,78,52,3636.5,69.7,4.0,0,253.46
47426,22/03/2023,Speed,CF,23,188,82,52,3926.6,75.3,5.0,0,295.67
47427,22/03/2023,Speed,CDM,30,181,76,52,4078.3,78.2,5.0,0,318.92
47407,24/03/2023,Activation,CB,24,188,89,54,1865.0,34.5,1.0,0,64.34
47409,24/03/2023,Activation,CM,32,186,78,54,2211.8,40.9,3.0,0,90.46
47410,24/03/2023,Activation,WF,29,185,80,54,2543.4,47.0,3.0,0,119.54
47411,24/03/2023,Activation,CAM,25,186,84,54,2544.4,47.0,1.0,0,119.59
47416,24/03/2023,Activation,FB,23,180,82,54,2165.2,40.0,2.0,0,86.61
47420,24/03/2023,Activation,WF,27,164,65,54,2037.4,37.6,3.0,0,76.61
47422,24/03/2023,Activation,FB,34,173,86,54,2262.6,41.8,1.0,0,94.58
47423,24/03/2023,Activation,CB,36,173,78,54,2189.7,40.5,1.0,0,88.68
47426,24/03/2023,Activation,CF,23,188,82,54,1908.4,35.3,2.0,0,67.37
47407,27/03/2023,Strength,CB,24,188,89,79,5477.8,69.1,3.0,0,378.52
47409,27/03/2023,Strength,CM,32,186,78,79,5943.9,75.0,7.0,0,445.79
47410,27/03/2023,Strength,WF,29,185,80,79,5698.4,71.9,8.0,0,409.71
47414,27/03/2023,Strength,CM,30,186,80,79,6552.9,83.3,4.0,0,545.86
47415,27/03/2023,Strength,CM,27,178,75,26,1780.4,68.7,2.0,0,122.31
47416,27/03/2023,Strength,FB,23,180,82,79,5866.7,74.0,4.0,0,434.14
47420,27/03/2023,Strength,WF,27,164,65,79,6329.7,80.0,6.0,0,506.38
47422,27/03/2023,Strength,FB,34,173,86,79,4574.5,57.7,3.0,0,263.95
47423,27/03/2023,Strength,CB,36,173,78,79,5529.4,69.7,4.0,0,385.4
47426,27/03/2023,Strength,CF,23,188,82,79,5819.6,73.4,8.0,0,427.16
47407,28/03/2023,Endurance,CB,24,188,89,79,5281.3,66.8,3.0,0,352.79
47409,28/03/2023,Endurance,CM,32,186,78,79,5370.8,68.0,7.0,0,365.21
47410,28/03/2023,Endurance,WF,29,185,80,78,5302.6,67.6,8.0,0,358.46
47415,28/03/2023,Endurance,CM,27,178,75,79,5439.0,69.1,3.0,0,375.83
47416,28/03/2023,Endurance,FB,23,180,82,79,5759.2,72.9,5.0,0,419.85
47420,28/03/2023,Endurance,WF,27,164,65,79,5787.5,73.3,6.0,0,424.22
47422,28/03/2023,Endurance,FB,34,173,86,79,3864.0,48.9,3.0,0,188.95
